A1,18.1,2.957,71,523,39.267,23.480,0.882,115.2,10,26.96666667,77.66666667,0.000
A2,15.4,2.291,65,526,42.533,13.263,0.846,115.2,10,26.96666667,77.66666667,0.530
A3,16.4,2.342,80,680,37.967,27.124,0.866,115.2,10,26.96666667,77.66666667,0.770
A4,13,2.442,121,524,39.067,11.181,0.841,115.2,10,26.96666667,77.66666667,0.480
A5,16.4,2.08,66,459,47.385,16.929,0.845,115.2,10,26.96666667,77.66666667,0.000
A6,18.3,2.223,118,643,42.333,29.324,0.869,115.2,10,26.96666667,77.66666667,0.000
A7,13.6,1.636,77,463,71.500,16.697,0.856,115.2,10,26.96666667,77.66666667,0.000
A8,14,2.456,107,635,40.833,24.898,0.854,115.2,10,26.96666667,77.66666667,0.810
A9,15.8,2.326,54,470,42.483,12.800,0.745,115.2,10,26.96666667,77.66666667,0.615
A10,16.4,2.332,57,676,35.717,30.072,0.841,115.2,10,26.96666667,77.66666667,0.000
A11,12.2,2.618,151,483,66.633,16.846,0.793,115.2,10,26.96666667,77.66666667,0.000
A12,11.5,2.465,117,450,47.700,12.110,0.767,115.2,10,26.96666667,77.66666667,0.000
A13,12,1.945,120,422,78.383,12.979,0.778,115.2,10,26.96666667,77.66666667,0.000
A14,12,2.19,121,448,67.583,11.686,0.839,115.2,10,26.96666667,77.66666667,0.000
A15,16.4,2.534,57,552,50.300,17.255,0.845,115.2,10,26.96666667,77.66666667,0.620
A16,20.7,2.184,35,573,44.383,26.473,0.842,115.2,10,26.96666667,77.66666667,0.805
A17,17.2,1.812,76,724,38.650,28.201,0.820,115.2,10,26.96666667,77.66666667,0.000
A18,13.7,2.397,94,581,38.367,24.115,0.843,115.2,10,26.96666667,77.66666667,0.000
A19,12.6,2.138,109,388,61.117,11.954,0.837,115.2,10,26.96666667,77.66666667,0.565
A20,18,1.935,52,544,41.167,25.520,0.856,115.2,10,26.96666667,77.66666667,0.000
A21,14.9,1.733,58,477,44.400,12.898,0.854,115.2,10,26.96666667,77.66666667,0.000
