A1,18.1,2.957,71,523,61.467,17.797247,0.889063,0.000
A2,15.4,2.291,65,526,69.517,11.220408,0.900986,0.530
A3,16.4,2.342,80,680,44.183,16.624165,0.876695,0.770
A4,13,2.442,121,524,43.800,10.306807,0.886366,0.480
A5,16.4,2.08,66,459,51.900,10.030012,0.876611,0.000
A6,18.3,2.223,118,643,74.317,21.320406,0.87691,0.000
A7,13.6,1.636,77,463,69.850,11.051295,0.874616,0.000
A8,14,2.456,107,635,54.183,17.12596,0.869325,0.810
A9,15.8,2.326,54,470,51.717,7.69709,0.906749,0.615
A10,16.4,2.332,57,676,43.700,21.274135,0.889997,0.000
A11,12.2,2.618,151,483,43.150,10.288006,0.858035,0.000
A12,11.5,2.465,117,450,67.383,7.737592,0.863633,0.000
A13,12,1.945,120,422,47.733,7.712944,0.878648,0.000
A14,12,2.19,121,448,74.667,7.416611,0.860239,0.000
A15,16.4,2.534,57,552,56.917,13.742911,0.860455,0.620
A16,20.7,2.184,35,573,50.267,18.876786,0.934871,0.805
A17,17.2,1.812,76,724,46.167,20.81149,0.899114,0.000
A18,13.7,2.397,94,581,80.583,15.353229,0.883906,0.000
A19,12.6,2.138,109,388,77.800,8.207112,0.874124,0.565
A20,18,1.935,52,544,65.333,16.313666,0.89376,0.000
A21,14.9,1.733,58,477,43.783,9.917027,0.874585,0.000
A22,13.6,2.03,55,463,74.867,11.704555,0.854592,0.000
A23,12.7,1.701,117,422,67.233,8.158179,0.833021,0.000
A24,11.9,1.741,79,423,50.217,6.261416,0.842204,0.000
A25,15.7,1.944,108,543,62.283,10.004642,0.838105,0.000
A26,17.8,2.305,64,356,73.283,13.040544,0.857959,0.000
A27,17.5,2.333,134,580,76.233,16.111508,0.881107,0.000
A28,14,2.275,92,519,61.683,8.584774,0.879673,0.000
A29,12.8,2.486,124,430,43.483,9.116677,0.883775,0.000
A30,14.1,1.816,99,474,71.950,9.173764,0.88862,0.000
A31,20.2,2.194,55,857,49.900,33.005636,0.888822,0.000
A32,15.9,1.527,112,716,44.700,19.740708,0.875715,0.000
A33,19.6,2.893,127,772,57.317,25.353307,0.889687,0.000
A34,15.1,1.949,135,640,68.717,21.43557,0.875972,0.000
A35,17.1,1.526,87,682,43.733,19.342703,0.875735,0.000
A36,17.7,2.18,120,730,57.767,23.008572,0.905642,0.000
A37,17.1,1.906,27,585,62.300,23.10449,0.881681,0.000
A38,14.4,2.235,119,482,57.150,12.206815,0.889153,0.000
A39,18.9,2.483,46,570,78.667,16.540024,0.875264,0.000
A40,14.9,2.239,74,578,53.917,13.616427,0.895211,0.000
A41,11,2.575,151,509,47.633,9.302471,0.862595,0.000
A42,17.7,2.519,115,636,44.167,15.903098,0.893991,0.000
A43,20.1,2.52,75,720,47.950,22.966634,0.890699,0.000
A44,14.4,2.557,121,52,45.000,8.982431,0.897628,0.000
A45,16.5,2.204,55,681,43.450,16.505568,0.88764,0.000
A46,18.3,2.366,107,788,43.450,19.391849,0.902425,0.000
A47,14.8,2.301,96,578,51.800,9.455884,0.879072,1.825
A48,15,2.183,97,500,68.417,10.997586,0.873118,0.000
A49,16.4,2.243,107,779,57.783,17.125147,0.893857,0.000
A50,13.8,2.144,103,516,64.400,10.112822,0.879486,0.000
A51,15.4,1.953,74,765,41.733,18.530557,0.857075,0.000
A52,17.7,2.648,66,732,38.667,16.159609,0.868614,0.000
A53,20.7,2.205,59,712,38.367,23.907271,0.893184,0.000
A54,16.6,2.387,124,712,54.033,25.191193,0.887508,0.000
A55,17.7,2.749,138,714,70.050,25.778085,0.898421,0.000
A56,14.8,2.183,65,715,53.367,10.016109,0.913037,0.000
A57,12.4,1.961,165,553,46.667,14.361279,0.873488,0.000
A58,14.5,2.121,150,720,38.733,20.237359,0.885602,0.000
A59,11.9,1.882,133,669,43.483,12.145848,0.880677,0.000
A60,17.4,2.885,106,640,45.333,22.480337,0.903767,0.000
A61,18.5,2.662,88,710,54.733,24.827991,0.886139,0.000
A62,17.7,2.5,67,803,41.017,27.883893,0.878392,0.000
A63,11.6,2.126,95,497,44.017,9.100189,0.843178,0.000
A64,18.1,3.24,128,629,46.833,19.749238,0.882016,2.205
A65,18.5,2.523,105,853,45.383,30.138364,0.898297,0.000
A66,16.8,2.373,117,805,47.450,27.991827,0.899656,0.000
A67,21.2,2.782,74,785,46.067,22.163026,0.891747,0.000
A68,17,2.43,77,720,45.783,21.025516,0.875093,0.000
A69,13.7,2.157,155,600,53.050,18.081119,0.913287,0.000
A70,15.4,2.387,154,756,59.767,19.177026,0.897746,0.000
A71,17.1,2.543,97,636,49.067,14.220302,0.884345,1.675
A72,13.1,1.866,76,684,44.250,11.25148,0.896187,0.000
A73,9.8,2.301,140,438,52.883,4.187387,0.852805,0.000
A74,11,2.059,137,368,52.817,5.07974,0.853687,0.000
A75,16,2.261,92,735,45.167,19.29378,0.909319,0.000
A76,14.1,2.272,157,658,61.917,16.284353,0.899939,0.000
A77,12.5,1.233,107,625,57.783,12.656276,0.882343,0.000
A78,16.8,2.127,93,818,46.683,25.968436,0.887148,0.000
A79,19.6,2.593,97,814,48.650,29.433327,0.8787,0.000
A80,18.5,2.018,74,836,45.533,34.264883,0.899318,0.000
A81,18.2,2.607,190,780,49.017,30.293762,0.847757,0.000
A82,18.6,3.623,130,877,50.217,35.995803,0.88987,0.000
A83,22.3,2.997,54,980,39.700,36.874522,0.916024,0.000
A84,19.4,3.109,128,862,40.267,38.067839,0.896303,0.000
A85,19,2.394,24,667,40.383,15.128924,0.89094,0.000
A86,26.6,2.614,54,990,40.717,34.264718,0.895395,0.000
A87,17.1,2.533,112,792,47.250,29.911532,0.850498,0.000
A88,22.5,2.177,79,878,44.217,37.132857,0.871988,0.000
A89,21.4,2.415,72,812,40.300,35.321905,0.871361,0.000
A90,16.3,3.548,102,620,34.833,18.250468,0.865428,0.505
A91,22.3,3.153,125,1005,40.867,41.445321,0.905269,0.000
A92,18,2.21,125,872,45.033,32.844093,0.896649,0.000
A93,17,2.302,102,747,45.733,22.804238,0.893782,1.545
A94,19.9,2.11,138,772,44.733,19.900345,0.895422,0.000
A95,19.3,2.634,124,725,42.883,17.467946,0.903218,0.000
A96,21.2,2.472,126,584,48.133,19.866196,0.904462,0.000
A97,24.2,2.846,69,882,41.650,29.872105,0.867188,0.000
A98,21.5,2.122,86,1022,38.633,24.122032,0.87909,0.000
A99,16.8,2.4,124,753,42.533,12.527775,0.882688,0.000
A100,17,2.504,133,854,42.133,26.509534,0.873386,0.000
A101,17.2,2.598,96,723,46.933,25.772378,0.887753,0.000
A102,21.3,2.892,109,995,41.067,45.24703,0.877337,0.000
A103,17,2.479,128,814,39.683,27.680516,0.873721,0.000
A104,24.5,2.169,89,907,37.850,26.783775,0.885514,0.000
A105,17,2.783,144,778,47.900,20.704343,0.876245,0.000
A106,20.5,2.265,112,748,35.350,23.765625,0.905388,0.000
A107,17.7,2.292,107,636,40.200,19.276935,0.902616,0.000
A108,22.3,2.24,118,534,51.867,34.338667,0.870753,0.000
A109,23.4,3.725,86,937,56.333,38.845795,0.864376,0.000
A110,13.3,3.638,177,932,48.650,32.05281,0.855943,0.000
A111,18.2,3.38,142,876,47.867,26.691204,0.854742,0.000
A112,17.9,3.626,145,828,45.433,25.563378,0.87468,0.000
A113,19.7,3.415,153,922,40.417,30.841585,0.87525,8.860
