A1,18.1,2.957,71,523,53.083,15.331543,0.714954,0.000
A2,15.4,2.291,65,526,67.467,12.011967,0.739639,0.530
A3,16.4,2.342,80,680,61.750,18.678030,0.709244,0.770
A4,13,2.442,121,524,71.833,12.239501,0.775574,0.480
A5,16.4,2.08,66,459,73.000,11.973449,0.697059,0.000
A6,18.3,2.223,118,643,69.950,20.151379,0.752671,0.000
A7,13.6,1.636,77,463,58.633,11.011731,0.774741,0.000
A8,14,2.456,107,635,63.983,14.210625,0.716285,0.810
A9,15.8,2.326,54,470,70.900,10.023394,0.729876,0.615
A10,16.4,2.332,57,676,60.200,20.428128,0.729506,0.000
A11,12.2,2.618,151,483,84.633,11.040578,0.772822,0.000
A12,11.5,2.465,117,450,73.650,7.826354,0.821641,0.000
A13,12,1.945,120,422,78.333,8.957276,0.754375,0.000
A14,12,2.19,121,448,74.017,8.361848,0.695264,0.000
A15,16.4,2.534,57,552,67.167,12.520660,0.719931,0.620
A16,20.7,2.184,35,573,61.000,18.306454,0.749238,0.805
A17,17.2,1.812,76,724,71.383,17.413524,0.686786,0.000
A18,13.7,2.397,94,581,60.283,15.377320,0.687457,0.000
A19,12.6,2.138,109,388,76.967,8.927961,0.765860,0.565
A20,18,1.935,52,544,69.033,15.581773,0.775340,0.000
A21,14.9,1.733,58,477,74.050,10.601415,0.745116,0.000
A22,13.6,2.03,55,463,75.767,13.055548,0.664820,0.000
A23,12.7,1.701,117,422,68.433,7.759845,0.725411,0.000
A24,11.9,1.741,79,423,86.350,6.706740,0.705483,0.000
A25,15.7,1.944,108,543,70.250,10.643806,0.734136,0.000
A26,17.8,2.305,64,356,74.900,11.647205,0.732516,0.000
A27,17.5,2.333,134,580,61.700,17.767476,0.729061,0.000
A28,14,2.275,92,519,73.283,11.088408,0.708753,0.000
A29,12.8,2.486,124,430,91.883,9.600037,0.789007,0.000
A30,14.1,1.816,99,474,76.300,10.933888,0.860588,0.000
A31,20.2,2.194,55,857,52.983,29.040102,0.688799,0.000
A32,15.9,1.527,112,716,58.583,18.186853,0.738995,0.000
A33,19.6,2.893,127,772,61.867,22.568321,0.676700,0.000
